timestamp,ax,ay,az,gx,gy,gz,label
1763744752.9266732,11680,11288,3656,44,183,-337,TestMan
1763744753.1414223,11592,11356,3748,93,291,226,TestMan
1763744753.4342217,11540,11248,3708,-37,290,-112,TestMan
1763744753.828495,11908,11668,3820,255,150,95,TestMan
1763744754.1022427,11640,11548,3588,-10,281,158,TestMan
1763744754.2879925,11440,11200,3724,177,180,-306,TestMan
1763744754.4627242,11604,11212,3748,61,210,-251,TestMan
1763744754.7639792,11816,11344,3880,127,210,-190,TestMan
1763744755.0617328,11640,11364,3540,58,347,278,TestMan
1763744755.234235,11648,11352,3660,-29,315,276,TestMan
1763744755.465726,12048,11612,3492,-1662,881,2390,TestMan
1763744755.7932074,12740,10748,4108,1949,-2473,-10318,TestMan
1763744756.2524476,8368,14492,4748,-1021,145,793,TestMan
1763744756.4290545,19752,11960,5092,-2529,-4472,1143,TestMan
1763744756.7066793,8452,-6284,4488,-3865,1377,-218,TestMan
1763744756.9315615,17028,4672,5308,-13055,-4228,-117,TestMan
1763744757.2819617,13884,2352,-568,3228,2223,-679,TestMan
1763744757.5830102,6756,6012,-2412,3511,303,-2858,TestMan
1763744757.7883291,17172,14460,8952,5127,927,3444,TestMan
1763744757.9925442,20768,8200,2196,-13921,1102,-476,TestMan
1763744758.3007069,15244,52,8796,-434,1182,3182,TestMan
1763744758.515602,15968,2900,2316,-1727,-442,-275,TestMan
1763744758.7270663,16980,6592,1056,-7089,-3150,1859,TestMan
1763744758.8978736,19540,-2036,7540,-13007,584,6378,TestMan
1763744759.259488,11944,8648,3712,5696,49,-3249,TestMan
1763744759.5283878,14148,4092,4040,-5111,-897,4093,TestMan
1763744760.0412948,17492,-412,264,1921,803,269,TestMan
1763744760.2104385,21688,5076,9764,-3103,1591,-1754,TestMan
1763744760.5733583,16344,1232,3992,32767,-2705,-20866,TestMan
1763744760.78982,12940,8800,4428,590,29,-332,TestMan
1763744761.271384,13136,9560,5300,214,622,2600,TestMan
1763744761.4781861,14388,9188,4068,-1847,1652,2123,TestMan
1763744761.7237778,13184,8860,4832,-468,1030,2707,TestMan
1763744761.9370086,13268,8988,4888,10,246,72,TestMan
